    Freq      Node         Xundef          Yundef          Zundef            Xdef            Ydef            Zdef           Xdisp           Ydisp           Zdisp
 7.64560    181.0      2.04480000      0.03194100      0.11417000      2.04483083      0.03654819      0.11464198      0.00003083      0.00460719      0.00047198
 7.64560    182.0      2.04480000      0.04015800      0.12672000      2.04485423      0.04500587      0.12734960      0.00005423      0.00484787      0.00062960
 7.64560    183.0      2.04480000      0.04921200      0.13868000      2.04488069      0.05429285      0.13948599      0.00008069      0.00508085      0.00080599
 7.64560    184.0      2.04480000      0.05906100      0.15000000      2.04491023      0.06436342      0.15099885      0.00011023      0.00530242      0.00099885
 7.64560    185.0      2.02970000      0.05907000     -0.15000000      2.02981024      0.06431786     -0.14900900      0.00011024      0.00524786      0.00099100
 7.64560    186.0      2.02970000      0.04922100     -0.13868000      2.02978068      0.05424891     -0.13788047      0.00008068      0.00502791      0.00079953
 7.64560    187.0      2.02970000      0.04016600     -0.12672000      2.02975422      0.04496267     -0.12609556      0.00005422      0.00479667      0.00062444
 7.64560    188.0      2.02970000      0.03194800     -0.11417000      2.02973082      0.03650585     -0.11370199      0.00003082      0.00455785      0.00046801
 7.64560    189.0      2.02970000      0.02460400     -0.10109000      2.02971045      0.02892115     -0.10075715      0.00001045      0.00431715      0.00033285
 7.64560    190.0      2.02970000      0.01816800     -0.08753900      2.02970697      0.02224995     -0.08731786      0.00000697      0.00408195      0.00022114
 7.64560    191.0      2.02970000      0.01267100     -0.07358000      2.02972150      0.01653188     -0.07344591      0.00002150      0.00386088      0.00013409
 7.64560    192.0      2.02970000      0.00813840     -0.05927900      2.02973322      0.01180156     -0.05920752      0.00003322      0.00366316      0.00007148
 7.64560    193.0      2.02970000      0.00459070     -0.04470300      2.02974224      0.00808858     -0.04467154      0.00004224      0.00349788      0.00003146
 7.64560    194.0      2.02970000      0.00204460     -0.02991900      2.02974861      0.00541781     -0.02990825      0.00004861      0.00337321      0.00001075
 7.64560    195.0      2.02970000      0.00051198     -0.01499500      2.02975241      0.00380761     -0.01499018      0.00005241      0.00329563      0.00000482
 7.64560    196.0      2.02970000      0.00000000     -0.00000185      2.02975367      0.00326929      0.00000247      0.00005367      0.00326929      0.00000433
 7.64560    197.0      2.02970000      0.00051102      0.01499100      2.02975241      0.00380665      0.01499578      0.00005241      0.00329563      0.00000478
 7.64560    198.0      2.02970000      0.00204270      0.02991500      2.02974861      0.00541591      0.02992557      0.00004861      0.00337321      0.00001057
 7.64560    199.0      2.02970000      0.00458780      0.04470000      2.02974224      0.00808568      0.04473125      0.00004224      0.00349788      0.00003125
 7.64560    200.0      2.02970000      0.00813460      0.05927600      2.02973322      0.01179777      0.05934725      0.00003322      0.00366317      0.00007125
 7.64560    201.0      2.02970000      0.01266700      0.07357700      2.02972150      0.01652789      0.07371084      0.00002150      0.00386089      0.00013384
 7.64560    202.0      2.02970000      0.01816300      0.08753600      2.02970697      0.02224497      0.08775688      0.00000697      0.00408197      0.00022088
 7.64560    203.0      2.02970000      0.02459700      0.10109000      2.02971045      0.02891416      0.10142258      0.00001045      0.00431716      0.00033258
 7.64560    204.0      2.02970000      0.03194100      0.11417000      2.02973082      0.03649888      0.11463772      0.00003082      0.00455788      0.00046772
 7.64560    205.0      2.02970000      0.04015800      0.12672000      2.02975422      0.04495471      0.12734413      0.00005422      0.00479671      0.00062413
 7.64560    206.0      2.02970000      0.04921200      0.13868000      2.02978068      0.05423996      0.13947921      0.00008068      0.00502796      0.00079921
 7.64560    207.0      2.02970000      0.05906100      0.15000000      2.02981024      0.06430892      0.15099067      0.00011024      0.00524792      0.00099067
 7.64560    208.0      2.01470000      0.05907000     -0.15000000      2.01481026      0.06426310     -0.14901738      0.00011026      0.00519310      0.00098262
 7.64560    209.0      2.01470000      0.04922100     -0.13868000      2.01478068      0.05419585     -0.13788738      0.00008068      0.00497485      0.00079262
 7.64560    210.0      2.01470000      0.04016600     -0.12672000      2.01475421      0.04491141     -0.12610110      0.00005421      0.00474541      0.00061890
