    Node          RMS_X          RMS_Y          RMS_Z           Xdef           Ydef           Zdef
   276.0   0.0000332278   0.0027547460   0.0012007803   1.9846332278   0.0618157460   0.1512007803
   277.0   0.0000332364   0.0027251999   0.0011884479   1.9696332364   0.0617951999  -0.1488115521
   278.0   0.0000231512   0.0025371481   0.0010211697   1.9696231512   0.0517581481  -0.1376588303
   279.0   0.0000152455   0.0023396533   0.0008680379   1.9696152455   0.0425056533  -0.1258519621
   280.0   0.0000098506   0.0021345217   0.0007299655   1.9696098506   0.0340825217  -0.1134400345
   281.0   0.0000077055   0.0019241265   0.0006077541   1.9696077055   0.0265281265  -0.1004822459
   282.0   0.0000084281   0.0017114760   0.0005019575   1.9696084281   0.0198794760  -0.0870370425
   283.0   0.0000100620   0.0015004914   0.0004128428   1.9696100620   0.0141714914  -0.0731671572
   284.0   0.0000115191   0.0012966437   0.0003404224   1.9696115191   0.0094350437  -0.0589385776
   285.0   0.0000125518   0.0011082182   0.0002845364   1.9696125518   0.0056989182  -0.0444184636
   286.0   0.0000131868   0.0009483369   0.0002449296   1.9696131868   0.0029929369  -0.0296740704
   287.0   0.0000135152   0.0008366670   0.0002213201   1.9696135152   0.0013486470  -0.0147736799
   288.0   0.0000136148   0.0007957565   0.0002134762   1.9696136148   0.0007957567   0.0002116232
   289.0   0.0000135152   0.0008366708   0.0002213055   1.9696135152   0.0013476908   0.0152123055
